,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
152,1/2/2020 14:15,22.56666667,25.86,10.34,37.66666667,17.6,228.6,21.239
153,1/2/2020 14:30,22.44,25.82,10.22,37.46666667,18.14,233.3333333,21.42
154,1/2/2020 14:45,23.5,26.14,10.38666667,37.2,14.32,220.8,20.712
155,1/2/2020 15:00,23.52,26.28666667,10.13333333,36.26666667,14.84,222.8,20.449
156,1/2/2020 15:15,23.24,26.34666667,9.826666667,35.4,15.94,223.2666667,19.836
157,1/2/2020 15:30,23.81333333,26.54,10.08666667,35.6,14.46,212.7333333,19.451
158,1/2/2020 15:45,23.88666667,26.56,9.866666667,35.06666667,13.86,203.3333333,18.632
159,1/2/2020 16:00,23.32666667,26.57333333,9.833333333,34.93333333,16.82,218.4666667,17.797
160,1/2/2020 16:15,22.88,26.32,9.98,35.8,17.88,214.3333333,17.048
161,1/2/2020 16:30,22.46,25.42666667,10.28,38.53333333,15.64,200.8,16.642
162,1/2/2020 16:45,23.60666667,26.4,10.61333333,37.2,15.42,209.8666667,12.272
163,1/2/2020 17:00,23.33333333,25.72,10.24666667,37.8,13.14,197.8,14.896
164,1/2/2020 17:15,23.31333333,26.06,10.32,37.2,14.8,213.6,13.827
165,1/2/2020 17:30,23.83333333,26.06,10.22,36.93333333,11.8,189.6,12.638
166,1/2/2020 17:45,23.03333333,25.84666667,10.23333333,37.46666667,15.06,205.9333333,11.403
167,1/2/2020 18:00,22.68,25.71333333,10.13333333,37.53333333,15.9,206.0,10.283
168,1/2/2020 18:15,21.94666667,25.36666667,10.16,38.33333333,18.02,221.6,8.854
169,1/2/2020 18:30,21.73333333,25.11333333,10.10666667,38.73333333,17.8,220.9333333,7.413
170,1/2/2020 18:45,22.42666667,25.15333333,9.933333333,38.2,14.2,218.2,6.02
171,1/2/2020 19:00,22.44666667,24.85333333,9.16,37.0,11.68,197.0,4.701
172,1/2/2020 19:15,21.8,24.02666667,9.013333333,38.46666667,10.36,179.4666667,3.459
173,1/2/2020 19:30,21.14666667,23.37333333,9.0,39.93333333,10.36,174.6,2.472
174,1/2/2020 19:45,20.68,22.97333333,8.92,40.66666667,10.48,182.5333333,1.621
175,1/2/2020 20:00,20.1,22.42,8.986666667,42.33333333,10.72,176.3333333,0.827
176,1/2/2020 20:15,19.24,21.71333333,9.233333333,44.93333333,11.92,187.6666667,0.279
217,1/3/2020 6:30,12.59333333,11.96666667,11.96666667,100.0,0.0,210.0,0.14
218,1/3/2020 6:45,13.04666667,12.35333333,12.18,99.13333333,0.0,210.0,0.397
219,1/3/2020 7:00,13.57333333,12.76,12.56,99.0,0.0,210.1333333,0.701
220,1/3/2020 7:15,14.06,13.13333333,12.93333333,99.0,0.0,210.1333333,1.063
221,1/3/2020 7:30,14.63333333,13.76,12.85333333,94.26666667,0.0,208.2666667,1.426
222,1/3/2020 7:45,14.66,14.06666667,12.63333333,91.06666667,1.2,222.2,1.888
223,1/3/2020 8:00,15.27333333,15.14,12.66,85.06666667,3.36,212.9333333,2.406
224,1/3/2020 8:15,15.82,16.08666667,12.45333333,78.86666667,5.146666667,162.3333333,3.043
225,1/3/2020 8:30,16.06666667,16.64,12.21333333,75.06666667,6.453333333,150.2,3.747
226,1/3/2020 8:45,16.86666667,17.37333333,11.96666667,70.53333333,5.68,139.2,4.427
227,1/3/2020 9:00,17.58666667,17.98,11.86,67.46666667,4.84,158.7333333,5.246
228,1/3/2020 9:15,18.21333333,18.61333333,11.69333333,64.13333333,4.76,119.3333333,5.683
229,1/3/2020 9:30,18.0,18.60666667,11.44666667,63.13333333,5.386666667,208.9333333,7.293
